Image,Category,Types,Brand,Model,Comment,Part No.,Serial No.,Stock Code,QTY,FG,Status,Location,Remark
,Cable & Connectivity,Patch Cable,Cisco,Stack Data Cable,,,Stackdata01,,1,0,Sold,,ขาย Project PRT-CH
,Cable & Connectivity,Patch Cable,Cisco,Stack Data Cable,,,Stackdata02,,1,0,Sold,,ขาย Project PRT-CH
,Cable & Connectivity,Patch Cable,Cisco,Stack Data Cable,,,Stackdata03,,1,0,Sold,,Project Thai Nippon
,Cable & Connectivity,Stack Cable,Cisco,Stack Data Cable,,STACK-T1-50CM,MOC2031AA6D,,1,1,Ready,Rack A3,Check Stock 17/02/2026
,Cable & Connectivity,Stack Cable,Cisco,Stack Data Cable,,STACK-T1-50CM,MOC2031AB0K,,1,0,Sold,A3,Sold Project : SLI 05/09/2025
,Cable & Connectivity,Stack Cable,Cisco,Stack Data Cable,,STACK-T1-50CM,Stackcable7,,1,1,Need Check,A3,
,Cable & Connectivity,Stack Cable,Cisco,Stack Data Cable,,STACK-T1-50CM,Stackcable8,,1,1,Need Check,A3,
,Cable & Connectivity,Stack Cable,Cisco,Stack Data Cable,,STACK-T1-50CM,MOC2529A5US,,1,1,Ready,Rack A3,"Check Stock 17/02/2026

Return: Project Clicxbank 27/05/2026"
,Cable & Connectivity,Power Cable,Cisco,Stack Power Cable,,,Stackpower1,,1,0,Sold,,ขาย Project PRT-CH
,Cable & Connectivity,Power Cable,Cisco,Stack Power Cable,,,Stackpower2,,1,0,Sold,,ขาย Project PRT-CH
,Cable & Connectivity,Power Cable,Cisco,Stack Power Cable,,37-1122-01,Stackpower3,,1,0,Sold,A3,Sold Project : SLI 05/09/2025
,Cable & Connectivity,Power Cable,Cisco,Stack Power Cable,,37-1122-01,Stackpower4,,1,0,Sold,A3,Sold Project : SLI 05/09/2025
,Cable & Connectivity,Power Cable,Cisco,Stack Power Cable,,37-1122-01,Stackpower05,,1,1,Lost,A3,
,Cable & Connectivity,Power Cable,Cisco,Stack Power Cable,,37-1122-01,Stackpower001,,1,1,Ready,Rack A3,"Check Stock 17/02/2026

Return: Project Clickbank 27/05/2026"
,Cable & Connectivity,Power Cable,Cisco,Stack Power Cable,,37-1122-01,Stackpower002,,1,1,Ready,Rack A3,"Check Stock 17/02/2026

Return: Project Clicxbank 27/05/2026"
,Cable & Connectivity,Power Cable,Cisco,Stack Power Cable,,37-1122-01,Stackpower003,,1,1,Ready,Rack A3,Check Stock 17/02/2026
,Cable & Connectivity,Power Cable,Cisco,Stack Power Cable,,37-1122-01,Stackpower004,,1,1,Ready,Rack A3,Check Stock 17/02/2026
,Power,PoE Injector,RoHs,Injector,,,Injecter001,,1,0,Sold,,
,Power,PoE Injector,RoHs,Injector,,,Injecter002,,1,1,Ready,StockRoom,
,Power,PoE Injector,RoHs,Injector,,,Injecter003,,1,1,Ready,StockRoom,
,Power,PoE Injector,RoHs,Injector,,,Injecter004,,1,1,Ready,StockRoom,
,Power,PoE Injector,TP-Link,Injector,,???,4.24415E+12,,1,0,Sold,,ขาย Project PRT-BKK
,Power,PoE Injector,TP-Link,Injector,,???,4.24415E+12,,1,0,Sold,,ขาย Project PRT-BKK
,Power,PoE Injector,TP-Link,Injector,,???,4.24415E+12,,1,0,Sold,,ขาย Project PRT-BKK
,Power,PoE Injector,TP-Link,Injector,,???,4.24415E+12,,1,0,Sold,,ขาย Project PRT-CH
,Power,PoE Injector,Cisco,Injector,,,SER1628ZU7G,,1,1,Ready,StockRoom,
,Power,Power Supply,Cisco,Cisco 3560x - EDPS-1100AB/B,,,DTN2132V0X02,,1,1,Need Check,,
,Power,Power Supply,Cisco,EDPS-3SOCB A,,341-0394-01,DTN1640L16G,,1,1,Ready,Rack B4,Check Stock 04/02/2026
,Power,Power Supply,Cisco,EDPS-350CB A,,341-0394-01,DTN1640L15W,,1,1,Ready,Rack B4,Check Stock 04/02/2026
Reserved_ImageAttachment_[5]_[Image][32]_[b47031f5f03946ad9d875398bb95261f][1]_[2].jpg,Power,Power Supply,HPE,X361 160W AC,,JD362B,GHL69480192702880,,1,1,Ready,Rack B4,Check Stock 04/02/2026
Reserved_ImageAttachment_[5]_[Image][32]_[a9501207a77b4907966013e4861c5126][1]_[2].jpg,Power,Power Supply,HPE, X361 160W AC,,JD362B,GHL76856203210853,,1,1,Ready,Rack B4,Check Stock 04/02/2026
,Power,Power Supply,LiteOn,PA-1112-1-LF REV:05,,341-0354-02,LIT15350Z49,,1,1,Ready,Rack B4,Check Stock 04/02/2026
,Power,Power Supply,Cisco,PWR-C1-1100WAC,,,LIT22353K6T,,1,1,Need Check,,
,Power,Power Supply,Cisco,PWR-C1-1100WAC,,PWR-C1-1100WAC,LIT22353KC9,,1,0,Sold,ขาย ติดตั้ง IDC,
,Power,Power Supply,Cisco,PWR-C1-1100WAC,,PWR-C1-1100WAC,DTN2021V3Q5,,1,0,Sold,ขาย ติดตั้ง IDC,
,Cable & Connectivity,Stack Cable,Cisco,Stack Cable 2960X,,37-0891-01,M190100193623,,1,1,Ready,Rack A3,Check Stock 17/02/2026
,Cable & Connectivity,Stack Cable,RoHs,Stack Cable 2960X,,37-0891-01,M190100193085,,1,,Ready,Rack A3,Check Stock 17/02/2026
,Cable & Connectivity,Stack Cable,Cisco,"Stack Cable 3750, 3650",,72-2632-01,Stackcable1,,1,,Ready,Rack A3,Check Stock 17/02/2026
,Cable & Connectivity,Stack Cable,Cisco,"Stack Cable 3750, 3650",,72-2632-01,Stackcable2,,1,,Ready,Rack A3,Check Stock 17/02/2026
,Cable & Connectivity,Stack Cable,Cisco,"Stack Cable 3750, 3650",,72-2632-01,Stackcable3,,1,,Ready,Rack A3,Check Stock 17/02/2026
,Cable & Connectivity,Stack Cable,Cisco,"Stack Cable 3750, 3650",,72-2632-01,Stackcable4,,1,,Ready,Rack A3,Check Stock 17/02/2026
,Cable & Connectivity,AOC Cable,Crealights,10G 850nm SFP+ AOC 7M,,,AOC1,,1,,Sold,a2,Sold - PRT(CH) 14/2/25 Few
,Cable & Connectivity,AOC Cable,Crealights,10G 850nm SFP+ AOC 7M,,CLAOC-10G-7M,CUAC00720515225,,1,,Ready,Rack A2,Check Stock 17/02/2026
,Cable & Connectivity,Patch Cable,Cisco,40G QSFP To 4x10G 2M,,,AOC3,,1,,Using,,IDC - First
,Cable & Connectivity,Patch Cable,Cisco,40G QSFP To 4x10G 2M,,10-2931-02,HL210611005,,1,,Ready,Rack A2,"Check Stock 17/02/2026
"
,Cable & Connectivity,DAC Cable,RoHs,DAG Cable SFP-H10GB-CU2M,,SFP-H10GB-CU2M,HL210308014,,1,,Ready,Rack A2,Check Stock 17/02/2026
,Cable & Connectivity,DAC Cable,RoHs,DAG Cable SFP-H10GB-CU2M,,SFP-H10GB-CU2M,HL210308019,,1,,Ready,Rack A2,Check Stock 17/02/2026
,Cable & Connectivity,DAC Cable,RoHs,DAG Cable SFP-H10GB-CU2M,,SFP-H10GB-CU2M,HL201009016,,1,,Ready,Rack A2,Check Stock 17/02/2026
,Cable & Connectivity,DAC Cable,RoHs,DAG Cable SFP-H10GB-CU2M,,SFP-H10GB-CU2M,HL210308018,,1,,Ready,Rack A2,Check Stock 17/02/2026
,Cable & Connectivity,DAC Cable,Cisco,DAG Cable QSFP-H40G-CU3M,,37-1317-03,TED2514K11R,,1,,Ready,Rack A2,Check Stock 17/02/2026
,Cable & Connectivity,DAC Cable,Cisco,DAG Cable QSFP-H40G-CU3M,,37-1317-03,APF2536111N,,1,,Ready,Rack A2,Check Stock 17/02/2026
,Cable & Connectivity,Patch Cable,Amphenol,12G HD Mini-SAS to HD Mini-SAS,,038-004-379-01,APF372116927J1,,1,,Ready,Rack A3,Check Stock 17/02/2026
,Power,Power Supply,Cisco,Power Supply 3850 ,,PWR-C1-350WAC,DTN2132V0XZ,,1,1,Need Check,B4,
Reserved_ImageAttachment_[5]_[Image][32]_[9f04845192c645c29a273b0e6b309758][1]_[3].jpg,Power,Power Supply,Cisco,Sparepart For Switch Cisco 2960,,341-0328-02,LIT15270M63,,1,1,Ready,Rack B4,Check Stock 04/02/2026
Reserved_ImageAttachment_[5]_[Image][32]_[4719b569690b4b6cbd8a5d2eb278e6f6][1]_[3].jpg,Module & Expansion,Network Module,Cisco,Cisco Module: C3KX-NM-1G,,73-12298-04,FD0190612VM,,1,1,Ready,Rack B4,Check Stock 04/02/2026
